Year,Name,Rank,Genre,Publisher,NA_Sales
2008.0,007: Quantum of Solace,1275,Action,Activision,1.84
2000.0,007: The World is not Enough,1202,Action,Electronic Arts,1.64
2009.0,11eyes: CrossOver,15008,Adventure,5pb,0.0
2001.0,18 Wheeler: American Pro Trucker,4832,Racing,Acclaim Entertainment,0.29000000000000004
2005.0,187: Ride or Die,8896,Racing,Ubisoft,0.12000000000000001
2004.0,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,3772,Misc,Sega,0.49
2002.0,2002 FIFA World Cup,3407,Sports,Electronic Arts,0.39
2010.0,2010 FIFA World Cup South Africa,1614,Sports,Electronic Arts,0.94
2014.0,2014 FIFA World Cup Brazil,2903,Sports,Electronic Arts,0.29000000000000004
2006.0,25 to Life,4578,Shooter,Eidos Interactive,0.47
2014.0,3rd Super Robot Wars Z Jigoku Hen,7132,Role-Playing,Namco Bandai Games,0.0
2015.0,3rd Super Robot Wars Z: Tengoku-Hen,7942,Action,Namco Bandai Games,0.0
2008.0,428: Fuusa Sareta Shibuya de,9610,Adventure,Sega,0.0
2001.0,4x4 EVO 2,6903,Racing,Gathering of Developers,0.29
2009.0,50 Cent: Blood on the Sand,7362,Shooter,THQ,0.22
2005.0,50 Cent: Bulletproof,981,Action,Vivendi Games,1.26
2009.0,50 Classic Games,3647,Misc,Avanquest Software,0.52
2016.0,7 Days to Die,9880,Action,Telltale Games,0.05
2007.0,7 Wonders of the Ancient World,9544,Puzzle,Funsta,0.17
1998.0,A Bug's Life,530,Platform,Activision,2.45
2008.0,AC/DC LIVE: Rock Band Track Pack,6239,Misc,MTV Games,0.7499999999999999
2012.0,AKB1/149: Love Election,7065,Adventure,Namco Bandai Games,0.0
2007.0,AMF Bowling Pinbusters!,2276,Sports,Bethesda Softworks,0.9099999999999999
2009.0,ATV Quad Kings,7234,Racing,Storm City Games,0.31
2003.0,ATV Quad Power Racing 2,2466,Racing,Acclaim Entertainment,0.99
2000.0,ATV: Quad Power Racing,1996,Racing,Acclaim Entertainment,0.76
2012.0,Abunai: Koi no Sousa Shitsu,15752,Action,Asgard,0.0
2012.0,Accel World: Ginyoku no Kakusei,14300,Adventure,Namco Bandai Games,0.0
2013.0,Accel World: Kasoku no Chouten,15950,Adventure,Namco Bandai Games,0.0
2011.0,Ace Combat: Assault Horizon,2764,Action,Namco Bandai Games,0.6
2002.0,Activision Anthology,3969,Misc,Activision,0.28
2013.0,Adventure Time: Explore the Dungeon Because I Don't Know!,9010,Action,D3Publisher,0.16999999999999998
2015.0,Adventure Time: Finn & Jake Investigations,10435,Action,Little Orbit,0.14
2014.0,Adventure Time: The Secret of the Nameless,15911,Adventure,Little Orbit,0.02
2014.0,Adventure Time: The Secret of the Nameless Kingdom,11205,Action,Little Orbit,0.0
2016.0,Aegis of Earth: Protonovus Assault,14075,Action,PQube,0.05
2005.0,Aeon Flux,13720,Action,THQ,0.03
2009.0,Afro Samurai,6944,Action,Atari,0.28
2009.0,Agatha Christie: The ABC Murders,10446,Adventure,JoWood Productions,0.08
2002.0,Aggressive Inline,5329,Sports,Acclaim Entertainment,0.26
2011.0,Air Conflicts: Secret Wars,7776,Simulation,bitComposer Games,0.16
2001.0,AirForce Delta Storm,8045,Shooter,Konami Digital Entertainment,0.16
2012.0,Akatsuki no Goei Trinity,16428,Adventure,5pb,0.0
2013.0,Akiba's Trip: Undead & Undressed,7338,Action,Acquire,0.21999999999999997
2010.0,Alan Wake,1444,Action,Microsoft Game Studios,0.66
2004.0,Alias,10246,Action,Acclaim Entertainment,0.09
